"ZDB-GENE-091113-6","ank1b","GO:0044325","","ion channel binding","Danio rerio","IBA"
"ZDB-GENE-090514-1","cacna1sa","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-090514-1","cacna1sa","GO:0005244","","voltage-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-051227-1","cacna1sb","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-051227-1","cacna1sb","GO:0005244","","voltage-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-030131-732","cacng1a","GO:0005244","","voltage-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-131127-98","cacng1b","GO:0005244","","voltage-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-040426-1401","cacng2a","GO:0005244","","voltage-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-090312-124","cacng3a","GO:0005244","","voltage-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-090828-1","cacng3b","GO:0005244","","voltage-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-120215-100","cacng4a","GO:0005244","","voltage-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-120104-6","cacng4b","GO:0005244","","voltage-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-120104-4","cacng5a","GO:0005244","","voltage-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-120104-3","cacng5b","GO:0005244","","voltage-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-060503-814","cacng7a","GO:0005244","","voltage-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-100921-51","cacng7b","GO:0005244","","voltage-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-050417-239","cacng8a","GO:0005244","","voltage-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-100921-72","cacng8b","GO:0005244","","voltage-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-081107-71","calhm1","GO:0005227","","calcium activated cation channel activity","Danio rerio","IEA"
"ZDB-GENE-081107-71","calhm1","GO:0005244","","voltage-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-081107-71","calhm1","GO:0005261","","cation channel activity","Danio rerio","IBA"
"ZDB-GENE-030616-561","calhm2.1","GO:0005261","","cation channel activity","Danio rerio","IBA"
"ZDB-GENE-081028-65","calhm2.2","GO:0005261","","cation channel activity","Danio rerio","IBA"
"ZDB-GENE-081107-70","calhm3","GO:0005261","","cation channel activity","Danio rerio","IBA"
"ZDB-GENE-070410-4","calhm5.1","GO:0005261","","cation channel activity","Danio rerio","IBA"
"ZDB-GENE-140107-2","calhm5.2","GO:0005261","","cation channel activity","Danio rerio","IBA"
"ZDB-GENE-061201-60","calhm6","GO:0005261","","cation channel activity","Danio rerio","IBA"
"ZDB-GENE-050522-426","cav3","GO:0044325","","ion channel binding","Danio rerio","IEA"
"ZDB-GENE-050208-507","cbarpb","GO:0044325","","ion channel binding","Danio rerio","IBA"
"ZDB-GENE-050208-507","cbarpb","GO:0044325","","ion channel binding","Danio rerio","IEA"
"ZDB-GENE-980526-137","chrna1","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-980526-137","chrna1","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-980526-137","chrna1","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-980526-137","chrna1","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-980526-137","chrna1","GO:0005261","","cation channel activity","Danio rerio","IDA"
"ZDB-GENE-060503-725","chrna10a","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-060503-725","chrna10a","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-060503-725","chrna10a","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-060503-725","chrna10a","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-040108-2","chrna2a","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-040108-2","chrna2a","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-040108-2","chrna2a","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-040108-2","chrna2a","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-041001-99","chrna2b","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-041001-99","chrna2b","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-041001-99","chrna2b","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-041001-99","chrna2b","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-070822-1","chrna3","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-070822-1","chrna3","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-070822-1","chrna3","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-070822-1","chrna3","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-130530-903","chrna4a","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-130530-903","chrna4a","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-130530-903","chrna4a","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-130530-903","chrna4a","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-090505-3","chrna4b","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-090505-3","chrna4b","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-090505-3","chrna4b","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-090505-3","chrna4b","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-050417-440","chrna5","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-050417-440","chrna5","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-050417-440","chrna5","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-050417-440","chrna5","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-090312-91","chrna6","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-090312-91","chrna6","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-090312-91","chrna6","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-090312-91","chrna6","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-040108-3","chrna7","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-040108-3","chrna7","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-040108-3","chrna7","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-040108-3","chrna7","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-090312-63","chrna9","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-090312-63","chrna9","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-090312-63","chrna9","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-090312-63","chrna9","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-070821-4","chrnb1","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-070821-4","chrnb1","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-070821-4","chrnb1","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-070821-4","chrnb1","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-060811-1","chrnb1l","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-060811-1","chrnb1l","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-060811-1","chrnb1l","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-060811-1","chrnb1l","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-070821-3","chrnb2","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-070821-3","chrnb2","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-070821-3","chrnb2","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-070821-3","chrnb2","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-040108-1","chrnb3a","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-040108-1","chrnb3a","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-040108-1","chrnb3a","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-040108-1","chrnb3a","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-030102-4","chrnb3b","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-030102-4","chrnb3b","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-030102-4","chrnb3b","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-030102-4","chrnb3b","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-120809-1","chrnb4","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-120809-1","chrnb4","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-120809-1","chrnb4","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-120809-1","chrnb4","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-090312-169","chrnb5a","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-090312-169","chrnb5a","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-090312-169","chrnb5a","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-090312-169","chrnb5a","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-120809-5","chrnb5b","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-120809-5","chrnb5b","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-120809-5","chrnb5b","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-120809-5","chrnb5b","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-030131-6665","chrnd","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-030131-6665","chrnd","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-030131-6665","chrnd","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-030131-6665","chrnd","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-040808-32","chrne","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-040808-32","chrne","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-040808-32","chrne","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-040808-32","chrne","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-030131-3805","chrng","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-030131-3805","chrng","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-030131-3805","chrng","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-030131-3805","chrng","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-030131-3202","clic1","GO:0005244","","voltage-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-040718-299","clic2","GO:0005244","","voltage-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-030326-3","clic4","GO:0005244","","voltage-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-041114-84","clic5a","GO:0005244","","voltage-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-040426-2542","clic5b","GO:0005244","","voltage-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-121214-172","clic6","GO:0005244","","voltage-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-090312-66","cnga1a","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-090312-66","cnga1a","GO:0005221","","intracellular cyclic nucleotide activated cation channel activity","Danio rerio","IEA"
"ZDB-GENE-090312-66","cnga1a","GO:0005222","","intracellular cAMP-activated cation channel activity","Danio rerio","IBA"
"ZDB-GENE-090312-66","cnga1a","GO:0005223","","intracellular cGMP-activated cation channel activity","Danio rerio","IBA"
"ZDB-GENE-110408-39","cnga1b","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-110408-39","cnga1b","GO:0005221","","intracellular cyclic nucleotide activated cation channel activity","Danio rerio","IEA"
"ZDB-GENE-110408-39","cnga1b","GO:0005222","","intracellular cAMP-activated cation channel activity","Danio rerio","IBA"
"ZDB-GENE-110408-39","cnga1b","GO:0005223","","intracellular cGMP-activated cation channel activity","Danio rerio","IBA"
"ZDB-GENE-061005-1","cnga2a","GO:0005216","","ion channel activity","Danio rerio","IDA"
"ZDB-GENE-061005-1","cnga2a","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-061005-1","cnga2a","GO:0005222","","intracellular cAMP-activated cation channel activity","Danio rerio","IBA"
"ZDB-GENE-061005-1","cnga2a","GO:0005223","","intracellular cGMP-activated cation channel activity","Danio rerio","IBA"
"ZDB-GENE-050307-2","cnga2b","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-050307-2","cnga2b","GO:0005222","","intracellular cAMP-activated cation channel activity","Danio rerio","IBA"
"ZDB-GENE-050307-2","cnga2b","GO:0005223","","intracellular cGMP-activated cation channel activity","Danio rerio","IBA"
"ZDB-GENE-090611-2","cnga3a","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-090611-2","cnga3a","GO:0005221","","intracellular cyclic nucleotide activated cation channel activity","Danio rerio","IEA"
"ZDB-GENE-090611-2","cnga3a","GO:0005222","","intracellular cAMP-activated cation channel activity","Danio rerio","IBA"
"ZDB-GENE-090611-2","cnga3a","GO:0005223","","intracellular cGMP-activated cation channel activity","Danio rerio","IBA"
"ZDB-GENE-090312-121","cnga3b","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-090312-121","cnga3b","GO:0005221","","intracellular cyclic nucleotide activated cation channel activity","Danio rerio","IEA"
"ZDB-GENE-090312-121","cnga3b","GO:0005222","","intracellular cAMP-activated cation channel activity","Danio rerio","IBA"
"ZDB-GENE-090312-121","cnga3b","GO:0005223","","intracellular cGMP-activated cation channel activity","Danio rerio","IBA"
"ZDB-GENE-070912-292","cnga4","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-070912-292","cnga4","GO:0005222","","intracellular cAMP-activated cation channel activity","Danio rerio","IBA"
"ZDB-GENE-070912-292","cnga4","GO:0005223","","intracellular cGMP-activated cation channel activity","Danio rerio","IBA"
"ZDB-GENE-050419-164","cngb1a","GO:0005221","","intracellular cyclic nucleotide activated cation channel activity","Danio rerio","IEA"
"ZDB-GENE-050419-164","cngb1a","GO:0005222","","intracellular cAMP-activated cation channel activity","Danio rerio","IBA"
"ZDB-GENE-050419-164","cngb1a","GO:0005223","","intracellular cGMP-activated cation channel activity","Danio rerio","IBA"
"ZDB-GENE-090611-1","cngb3.1","GO:0005222","","intracellular cAMP-activated cation channel activity","Danio rerio","IBA"
"ZDB-GENE-090611-1","cngb3.1","GO:0005222","","intracellular cAMP-activated cation channel activity","Danio rerio","IEA"
"ZDB-GENE-090611-1","cngb3.1","GO:0005223","","intracellular cGMP-activated cation channel activity","Danio rerio","IBA"
"ZDB-GENE-090611-1","cngb3.1","GO:0005223","","intracellular cGMP-activated cation channel activity","Danio rerio","IEA"
"ZDB-GENE-091118-102","cngb3.2","GO:0005222","","intracellular cAMP-activated cation channel activity","Danio rerio","IBA"
"ZDB-GENE-091118-102","cngb3.2","GO:0005222","","intracellular cAMP-activated cation channel activity","Danio rerio","IEA"
"ZDB-GENE-091118-102","cngb3.2","GO:0005223","","intracellular cGMP-activated cation channel activity","Danio rerio","IBA"
"ZDB-GENE-091118-102","cngb3.2","GO:0005223","","intracellular cGMP-activated cation channel activity","Danio rerio","IEA"
"ZDB-GENE-081107-57","cngk","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-050320-121","cx23","GO:0005243","","gap junction channel activity","Danio rerio","IDA"
"ZDB-GENE-040406-1","cx30.3","GO:0005243","","gap junction channel activity","Danio rerio","IDA"
"ZDB-GENE-050616-10","cx40.8","GO:0005243","","gap junction channel activity","Danio rerio","IGI"
"ZDB-GENE-991105-4","cx43","GO:0005243","","gap junction channel activity","Danio rerio","IDA"
"ZDB-GENE-040310-6","cx52.6","GO:0005243","","gap junction channel activity","Danio rerio","IDA"
"ZDB-GENE-050309-14","fxyd1","GO:0099106","","ion channel regulator activity","Danio rerio","IEA"
"ZDB-GENE-030131-5919","fxyd6","GO:0099106","","ion channel regulator activity","Danio rerio","IEA"
"ZDB-GENE-071205-8","fxyd6l","GO:0099106","","ion channel regulator activity","Danio rerio","IEA"
"ZDB-GENE-061013-194","gabra1","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-061013-194","gabra1","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-061013-194","gabra1","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-061013-194","gabra1","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-061013-194","gabra1","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-061013-194","gabra1","GO:0005237","","inhibitory extracellular ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-061013-194","gabra1","GO:0022851","","GABA-gated chloride ion channel activity","Danio rerio","IBA"
"ZDB-GENE-061013-194","gabra1","GO:1904315","","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","Danio rerio","IBA"
"ZDB-GENE-141216-16","gabra2a","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-141216-16","gabra2a","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-141216-16","gabra2a","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-141216-16","gabra2a","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-141216-16","gabra2a","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-141216-16","gabra2a","GO:0005237","","inhibitory extracellular ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-141216-16","gabra2a","GO:0022851","","GABA-gated chloride ion channel activity","Danio rerio","IBA"
"ZDB-GENE-141216-16","gabra2a","GO:1904315","","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","Danio rerio","IBA"
"ZDB-GENE-091204-365","gabra3","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-091204-365","gabra3","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-091204-365","gabra3","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-091204-365","gabra3","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-091204-365","gabra3","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-091204-365","gabra3","GO:0005237","","inhibitory extracellular ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-091204-365","gabra3","GO:0022851","","GABA-gated chloride ion channel activity","Danio rerio","IBA"
"ZDB-GENE-091204-365","gabra3","GO:1904315","","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","Danio rerio","IBA"
"ZDB-GENE-050417-360","gabra4","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-050417-360","gabra4","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-050417-360","gabra4","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-050417-360","gabra4","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-050417-360","gabra4","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-050417-360","gabra4","GO:0005237","","inhibitory extracellular ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-050417-360","gabra4","GO:0022851","","GABA-gated chloride ion channel activity","Danio rerio","IBA"
"ZDB-GENE-050417-360","gabra4","GO:1904315","","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","Danio rerio","IBA"
"ZDB-GENE-081104-30","gabra5","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-081104-30","gabra5","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-081104-30","gabra5","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-081104-30","gabra5","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-081104-30","gabra5","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-081104-30","gabra5","GO:0005237","","inhibitory extracellular ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-081104-30","gabra5","GO:0022851","","GABA-gated chloride ion channel activity","Danio rerio","IBA"
"ZDB-GENE-081104-30","gabra5","GO:1904315","","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","Danio rerio","IBA"
"ZDB-GENE-081104-30","gabra5","GO:1904315","","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","Danio rerio","IBA"
"ZDB-GENE-040426-1692","gabra6a","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-040426-1692","gabra6a","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-040426-1692","gabra6a","GO:0005216","","ion channel activity","Danio rerio","IEA"
